Customer Type,Class,Gender,Age,Type of Travel,Flight Distance,Checkin service,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
Loyal Customer,Eco,Male,62,Personal Travel,710,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,24,Business travel,3680,5,0,0,satisfied
Loyal Customer,Eco,Female,22,Business travel,1521,1,3,13,satisfied
Loyal Customer,Business,Male,44,Business travel,1543,5,0,0,satisfied
Loyal Customer,Eco,Male,51,Business travel,235,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,43,Personal Travel,1235,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,56,Business travel,308,2,0,0,satisfied
disloyal Customer,Eco,Male,41,Business travel,624,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,22,Personal Travel,1846,4,40,68,neutral or dissatisfied
Loyal Customer,Eco,Female,53,Business travel,192,2,0,1,satisfied
Loyal Customer,Eco,Male,12,Personal Travel,674,4,80,70,neutral or dissatisfied
Loyal Customer,Business,Female,39,Business travel,370,4,10,12,satisfied
Loyal Customer,Business,Female,55,Business travel,3169,3,73,68,satisfied
disloyal Customer,Business,Female,32,Business travel,802,3,0,10,neutral or dissatisfied
Loyal Customer,Eco,Female,40,Personal Travel,628,5,4,0,neutral or dissatisfied
disloyal Customer,Business,Female,42,Business travel,373,5,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,24,Business travel,725,1,0,4,satisfied
Loyal Customer,Business,Male,22,Business travel,277,3,116,177,neutral or dissatisfied
Loyal Customer,Business,Female,28,Business travel,1024,5,0,3,satisfied
Loyal Customer,Eco Plus,Female,36,Business travel,267,4,59,55,neutral or dissatisfied
Loyal Customer,Eco,Female,62,Business travel,550,5,92,90,satisfied
Loyal Customer,Business,Female,60,Business travel,1889,5,0,0,satisfied
Loyal Customer,Eco,Female,59,Personal Travel,460,1,4,2,neutral or dissatisfied
Loyal Customer,Business,Female,49,Business travel,3295,5,0,4,satisfied
Loyal Customer,Eco,Female,44,Personal Travel,1205,2,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,58,Personal Travel,990,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,24,Business travel,444,3,20,32,satisfied
Loyal Customer,Eco,Female,53,Business travel,520,3,17,0,satisfied
Loyal Customer,Eco,Male,56,Business travel,321,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,30,Business travel,651,3,0,0,satisfied
disloyal Customer,Business,Male,27,Business travel,764,3,30,46,neutral or dissatisfied
Loyal Customer,Business,Male,27,Business travel,566,1,0,0,satisfied
Loyal Customer,Eco,Female,67,Personal Travel,626,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,32,Personal Travel,130,5,3,4,neutral or dissatisfied
disloyal Customer,Eco,Male,36,Business travel,331,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,44,Business travel,158,4,66,57,satisfied
Loyal Customer,Eco,Female,70,Personal Travel,1829,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,55,Personal Travel,646,4,0,3,neutral or dissatisfied
Loyal Customer,Eco,Male,66,Business travel,404,2,9,6,satisfied
Loyal Customer,Business,Female,19,Business travel,2738,1,0,0,satisfied
Loyal Customer,Eco Plus,Female,53,Personal Travel,964,5,6,0,neutral or dissatisfied
Loyal Customer,Business,Male,22,Business travel,1660,2,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,69,Personal Travel,872,3,14,0,neutral or dissatisfied
Loyal Customer,Business,Female,42,Business travel,1898,4,49,47,satisfied
Loyal Customer,Business,Female,41,Business travel,967,5,44,40,satisfied
Loyal Customer,Business,Female,53,Personal Travel,1242,4,3,0,neutral or dissatisfied
Loyal Customer,Business,Male,35,Business travel,1042,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,54,Personal Travel,153,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,44,Business travel,366,3,5,24,satisfied
disloyal Customer,Eco Plus,Female,26,Business travel,913,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,44,Personal Travel,528,3,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,24,Business travel,1172,4,28,27,neutral or dissatisfied
Loyal Customer,Eco,Female,54,Personal Travel,999,5,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,42,Business travel,489,1,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,36,Business travel,692,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,61,Business travel,1585,4,24,20,satisfied
Loyal Customer,Eco,Female,50,Personal Travel,140,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,27,Business travel,2729,5,44,52,satisfied
Loyal Customer,Business,Male,55,Business travel,1400,1,1,0,neutral or dissatisfied
disloyal Customer,Eco,Male,21,Business travel,447,4,7,0,neutral or dissatisfied
Loyal Customer,Business,Female,31,Personal Travel,334,2,5,0,neutral or dissatisfied
disloyal Customer,Eco,Female,37,Business travel,158,4,24,20,neutral or dissatisfied
Loyal Customer,Business,Female,50,Business travel,3696,4,9,0,satisfied
Loyal Customer,Eco,Female,21,Personal Travel,846,4,9,17,neutral or dissatisfied
Loyal Customer,Eco,Female,53,Business travel,329,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,45,Business travel,2580,3,0,11,satisfied
disloyal Customer,Eco,Female,42,Business travel,84,5,0,34,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,3358,4,0,0,satisfied
Loyal Customer,Eco,Female,54,Business travel,308,4,83,95,neutral or dissatisfied
Loyal Customer,Business,Female,46,Business travel,912,5,5,0,satisfied
Loyal Customer,Eco Plus,Female,52,Personal Travel,406,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,38,Personal Travel,397,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,35,Business travel,2409,3,0,0,satisfied
Loyal Customer,Eco,Female,41,Personal Travel,545,1,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,40,Business travel,2419,3,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,36,Business travel,1061,4,13,0,neutral or dissatisfied
Loyal Customer,Eco,Male,67,Personal Travel,899,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,38,Personal Travel,293,4,5,0,satisfied
Loyal Customer,Eco,Female,50,Personal Travel,1085,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,50,Business travel,2475,3,0,0,satisfied
Loyal Customer,Business,Male,54,Business travel,2544,4,62,66,satisfied
Loyal Customer,Business,Male,56,Business travel,2556,3,117,113,satisfied
Loyal Customer,Eco,Male,38,Personal Travel,237,4,0,2,neutral or dissatisfied
Loyal Customer,Eco,Female,7,Personal Travel,1120,5,16,13,neutral or dissatisfied
Loyal Customer,Business,Female,32,Business travel,2668,5,2,0,satisfied
Loyal Customer,Eco,Male,45,Business travel,1660,4,0,7,neutral or dissatisfied
disloyal Customer,Eco,Male,25,Business travel,1310,1,0,24,neutral or dissatisfied
Loyal Customer,Business,Female,45,Business travel,2374,5,0,0,satisfied
Loyal Customer,Eco,Male,34,Personal Travel,209,2,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,20,Personal Travel,305,4,5,2,neutral or dissatisfied
disloyal Customer,Eco,Female,36,Business travel,247,1,16,6,neutral or dissatisfied
disloyal Customer,Eco,Male,36,Business travel,338,1,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,27,Business travel,3200,2,0,0,satisfied
Loyal Customer,Eco,Male,40,Personal Travel,1368,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,31,Business travel,1999,3,0,4,satisfied
Loyal Customer,Eco Plus,Male,25,Business travel,680,5,0,0,satisfied
Loyal Customer,Business,Male,42,Business travel,537,4,0,0,satisfied
Loyal Customer,Eco,Female,45,Business travel,288,1,29,40,satisfied
Loyal Customer,Business,Male,59,Personal Travel,639,2,0,11,neutral or dissatisfied
Loyal Customer,Eco,Male,34,Personal Travel,201,3,3,8,neutral or dissatisfied
Loyal Customer,Eco,Female,22,Personal Travel,213,3,0,17,neutral or dissatisfied
Loyal Customer,Eco,Male,21,Personal Travel,1096,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,26,Business travel,1680,2,27,10,neutral or dissatisfied
Loyal Customer,Business,Male,37,Business travel,2401,1,94,86,satisfied
Loyal Customer,Business,Male,38,Business travel,2746,1,0,0,satisfied
Loyal Customer,Eco,Female,17,Personal Travel,89,5,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,15,Personal Travel,192,5,5,8,neutral or dissatisfied
Loyal Customer,Eco,Female,53,Personal Travel,404,1,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,39,Business travel,546,3,93,88,neutral or dissatisfied
Loyal Customer,Business,Male,40,Business travel,2400,3,0,0,satisfied
disloyal Customer,Eco Plus,Female,28,Business travel,599,1,0,46,neutral or dissatisfied
disloyal Customer,Business,Female,27,Business travel,2342,3,10,0,neutral or dissatisfied
Loyal Customer,Business,Female,41,Business travel,3046,4,0,0,satisfied
Loyal Customer,Eco,Female,7,Personal Travel,516,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,48,Business travel,759,4,2,1,neutral or dissatisfied
Loyal Customer,Eco,Male,13,Business travel,1400,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,48,Business travel,491,3,0,0,satisfied
Loyal Customer,Eco,Female,49,Personal Travel,134,1,8,3,neutral or dissatisfied
disloyal Customer,Business,Male,26,Business travel,900,5,5,0,satisfied
Loyal Customer,Business,Male,22,Business travel,3648,5,0,0,satisfied
Loyal Customer,Business,Female,53,Business travel,3769,1,180,178,neutral or dissatisfied
Loyal Customer,Eco,Female,43,Business travel,563,5,0,0,satisfied
Loyal Customer,Business,Male,56,Business travel,3131,4,0,0,satisfied
Loyal Customer,Eco,Female,69,Personal Travel,631,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,59,Personal Travel,351,2,0,0,satisfied
Loyal Customer,Business,Female,56,Business travel,1189,4,9,0,satisfied
Loyal Customer,Eco,Male,11,Personal Travel,562,1,0,0,satisfied
Loyal Customer,Eco,Female,25,Business travel,1874,5,86,78,satisfied
disloyal Customer,Eco,Female,29,Business travel,158,2,0,0,satisfied
Loyal Customer,Eco,Female,48,Business travel,95,1,0,0,satisfied
Loyal Customer,Business,Female,42,Business travel,266,2,0,0,satisfied
disloyal Customer,Eco,Male,15,Business travel,449,4,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,49,Business travel,1416,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,41,Business travel,2388,5,29,18,satisfied
Loyal Customer,Business,Male,43,Business travel,1678,4,0,0,satisfied
Loyal Customer,Business,Male,60,Business travel,1972,5,0,0,satisfied
Loyal Customer,Eco,Female,42,Personal Travel,337,2,0,0,satisfied
Loyal Customer,Eco,Female,8,Personal Travel,253,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,42,Business travel,212,5,82,72,satisfied
disloyal Customer,Eco Plus,Male,18,Business travel,342,1,32,41,neutral or dissatisfied
Loyal Customer,Business,Male,47,Business travel,3556,3,0,0,satisfied
disloyal Customer,Eco,Female,27,Business travel,191,2,16,12,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,67,Personal Travel,693,1,100,91,neutral or dissatisfied
disloyal Customer,Business,Male,38,Business travel,641,3,0,0,satisfied
disloyal Customer,Eco,Female,20,Business travel,471,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,60,Business travel,3823,3,1,0,satisfied
disloyal Customer,Business,Male,23,Business travel,282,3,9,1,satisfied
disloyal Customer,Business,Male,25,Business travel,544,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,38,Business travel,2955,3,0,0,satisfied
Loyal Customer,Business,Female,40,Business travel,2806,5,0,4,satisfied
Loyal Customer,Eco,Male,19,Personal Travel,587,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,61,Business travel,2073,4,6,0,satisfied
Loyal Customer,Eco,Male,44,Personal Travel,1249,4,25,6,neutral or dissatisfied
Loyal Customer,Eco,Female,22,Personal Travel,284,3,34,35,neutral or dissatisfied
disloyal Customer,Eco,Female,8,Business travel,946,4,2,0,neutral or dissatisfied
Loyal Customer,Business,Female,45,Business travel,3947,4,25,16,neutral or dissatisfied
Loyal Customer,Eco,Male,46,Personal Travel,895,3,40,25,satisfied
Loyal Customer,Business,Female,54,Business travel,1634,3,90,77,neutral or dissatisfied
Loyal Customer,Eco,Male,62,Personal Travel,588,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,25,Business travel,2533,1,0,0,satisfied
Loyal Customer,Eco,Female,32,Personal Travel,641,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,65,Personal Travel,581,4,1,3,neutral or dissatisfied
disloyal Customer,Business,Male,40,Business travel,223,3,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,30,Business travel,326,4,0,0,satisfied
Loyal Customer,Eco,Female,67,Personal Travel,599,2,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,51,Business travel,2075,3,0,0,satisfied
Loyal Customer,Business,Female,47,Business travel,964,4,1,3,satisfied
Loyal Customer,Eco,Female,38,Business travel,599,3,8,0,neutral or dissatisfied
Loyal Customer,Business,Male,54,Business travel,3138,3,0,0,satisfied
Loyal Customer,Eco,Female,57,Personal Travel,251,5,0,4,neutral or dissatisfied
Loyal Customer,Eco,Male,13,Personal Travel,1119,5,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,20,Business travel,337,4,0,0,satisfied
Loyal Customer,Business,Female,45,Business travel,759,3,23,94,neutral or dissatisfied
Loyal Customer,Business,Female,51,Business travel,2344,3,0,0,satisfied
disloyal Customer,Business,Male,25,Business travel,296,5,0,0,satisfied
Loyal Customer,Eco,Female,39,Personal Travel,1005,5,168,163,neutral or dissatisfied
Loyal Customer,Business,Female,46,Business travel,580,3,18,16,satisfied
Loyal Customer,Eco,Male,53,Business travel,359,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,61,Personal Travel,1217,4,0,0,satisfied
Loyal Customer,Eco Plus,Female,61,Business travel,384,3,96,102,satisfied
Loyal Customer,Eco,Male,16,Personal Travel,2586,5,45,42,neutral or dissatisfied
Loyal Customer,Business,Female,44,Business travel,2903,3,0,1,neutral or dissatisfied
Loyal Customer,Business,Female,17,Business travel,3170,1,16,0,satisfied
Loyal Customer,Eco,Female,50,Business travel,1276,1,35,49,neutral or dissatisfied
disloyal Customer,Business,Female,40,Business travel,825,3,0,4,satisfied
Loyal Customer,Business,Male,47,Business travel,2204,4,6,0,satisfied
Loyal Customer,Business,Female,80,Business travel,3464,5,0,0,satisfied
Loyal Customer,Eco,Female,38,Personal Travel,562,4,0,0,satisfied
Loyal Customer,Eco,Male,31,Personal Travel,404,4,0,0,satisfied
Loyal Customer,Business,Male,59,Business travel,1199,3,0,15,neutral or dissatisfied
Loyal Customer,Business,Female,22,Business travel,1968,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,53,Business travel,2560,3,0,3,satisfied
Loyal Customer,Eco Plus,Female,56,Business travel,308,5,0,0,satisfied
Loyal Customer,Eco,Female,48,Personal Travel,362,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Male,38,Business travel,1562,3,2,25,neutral or dissatisfied
Loyal Customer,Eco,Male,64,Personal Travel,129,4,13,9,neutral or dissatisfied
Loyal Customer,Eco,Male,67,Personal Travel,591,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,62,Business travel,3692,1,0,0,satisfied
Loyal Customer,Business,Male,57,Business travel,1859,5,16,15,satisfied
disloyal Customer,Eco,Female,27,Business travel,986,1,24,32,neutral or dissatisfied
disloyal Customer,Eco,Female,25,Business travel,1024,1,13,11,neutral or dissatisfied
Loyal Customer,Eco,Female,52,Business travel,919,1,85,72,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,45,Business travel,576,5,0,0,satisfied
disloyal Customer,Eco,Female,23,Business travel,423,3,6,13,neutral or dissatisfied
Loyal Customer,Eco,Male,55,Business travel,1416,2,1,0,satisfied
Loyal Customer,Business,Male,53,Business travel,1464,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,9,Personal Travel,715,4,11,4,satisfied
Loyal Customer,Business,Male,33,Business travel,541,3,86,85,satisfied
disloyal Customer,Business,Male,64,Business travel,293,4,3,0,neutral or dissatisfied
disloyal Customer,Eco,Female,8,Business travel,2092,3,26,23,neutral or dissatisfied
Loyal Customer,Eco,Male,34,Personal Travel,1053,3,34,15,neutral or dissatisfied
Loyal Customer,Eco,Male,59,Personal Travel,2521,5,0,2,neutral or dissatisfied
Loyal Customer,Business,Female,13,Business travel,2544,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,44,Personal Travel,158,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,54,Business travel,1741,4,0,0,satisfied
Loyal Customer,Business,Male,36,Business travel,2651,5,10,0,satisfied
Loyal Customer,Eco,Female,11,Personal Travel,760,4,102,88,neutral or dissatisfied
Loyal Customer,Eco,Female,32,Personal Travel,1036,5,12,9,neutral or dissatisfied
Loyal Customer,Eco,Male,42,Business travel,2586,1,0,0,neutral or dissatisfied
disloyal Customer,Eco,Female,27,Business travel,1081,3,4,0,neutral or dissatisfied
Loyal Customer,Eco,Male,33,Personal Travel,646,2,1,0,neutral or dissatisfied
Loyal Customer,Business,Female,28,Business travel,308,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,44,Personal Travel,227,5,0,0,satisfied
disloyal Customer,Eco,Male,49,Business travel,1754,4,33,28,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,2176,4,5,0,satisfied
disloyal Customer,Business,Male,20,Business travel,271,4,0,0,satisfied
Loyal Customer,Business,Female,46,Business travel,1522,3,0,0,satisfied
Loyal Customer,Eco,Male,36,Business travel,325,1,0,0,satisfied
Loyal Customer,Business,Female,62,Business travel,3217,4,19,16,satisfied
Loyal Customer,Business,Male,59,Business travel,1491,4,15,14,satisfied
Loyal Customer,Eco,Female,29,Personal Travel,331,2,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,41,Business travel,371,1,35,30,neutral or dissatisfied
Loyal Customer,Eco,Male,7,Personal Travel,727,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,65,Personal Travel,1249,4,40,44,neutral or dissatisfied
Loyal Customer,Business,Male,50,Business travel,2614,4,0,9,satisfied
Loyal Customer,Eco,Female,20,Business travel,951,1,57,41,neutral or dissatisfied
Loyal Customer,Business,Female,58,Business travel,2498,4,0,0,satisfied
Loyal Customer,Eco Plus,Female,45,Personal Travel,545,4,14,20,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,46,Personal Travel,1838,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,43,Business travel,3724,4,19,7,satisfied
disloyal Customer,Business,Male,26,Business travel,280,2,0,6,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,41,Business travel,641,5,0,0,satisfied
Loyal Customer,Eco,Female,50,Personal Travel,488,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,38,Personal Travel,1237,5,6,0,neutral or dissatisfied
disloyal Customer,Eco,Female,38,Business travel,1062,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,55,Business travel,2699,4,0,3,satisfied
Loyal Customer,Business,Female,49,Business travel,679,2,51,71,satisfied
disloyal Customer,Business,Male,33,Business travel,423,5,0,5,neutral or dissatisfied
Loyal Customer,Business,Female,57,Business travel,4817,5,0,19,satisfied
Loyal Customer,Business,Female,35,Business travel,3833,4,0,3,satisfied
Loyal Customer,Business,Female,40,Business travel,2559,3,0,0,satisfied
disloyal Customer,Eco Plus,Female,37,Business travel,373,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,52,Personal Travel,2279,2,17,79,neutral or dissatisfied
Loyal Customer,Eco,Male,41,Business travel,862,3,0,0,satisfied
Loyal Customer,Eco,Female,14,Personal Travel,666,1,243,251,neutral or dissatisfied
Loyal Customer,Business,Female,32,Business travel,759,4,0,0,satisfied
Loyal Customer,Eco,Male,11,Personal Travel,2338,1,152,151,neutral or dissatisfied
Loyal Customer,Eco,Male,12,Personal Travel,946,2,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,41,Business travel,772,4,0,0,satisfied
disloyal Customer,Business,Female,45,Business travel,1011,4,0,0,neutral or dissatisfied
disloyal Customer,Eco,Male,21,Business travel,257,4,0,1,neutral or dissatisfied
Loyal Customer,Eco,Female,31,Business travel,164,1,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,38,Business travel,166,4,17,17,satisfied
Loyal Customer,Business,Male,40,Business travel,2280,4,19,38,satisfied
Loyal Customer,Eco,Male,13,Personal Travel,590,4,0,0,satisfied
Loyal Customer,Business,Female,44,Business travel,1597,5,0,5,satisfied
Loyal Customer,Business,Female,66,Business travel,2264,2,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,30,Business travel,814,2,0,0,satisfied
Loyal Customer,Eco,Male,44,Personal Travel,1024,3,2,0,neutral or dissatisfied
Loyal Customer,Business,Female,53,Business travel,3276,5,0,0,satisfied
Loyal Customer,Business,Female,37,Business travel,2567,3,0,12,satisfied
Loyal Customer,Eco,Female,39,Personal Travel,889,3,38,30,neutral or dissatisfied
disloyal Customer,Business,Male,29,Business travel,1009,5,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,38,Business travel,198,4,42,65,neutral or dissatisfied
Loyal Customer,Business,Male,59,Business travel,1598,3,0,0,satisfied
Loyal Customer,Eco,Male,19,Personal Travel,873,3,57,65,neutral or dissatisfied
Loyal Customer,Business,Female,39,Business travel,1399,3,16,4,satisfied
Loyal Customer,Eco,Male,22,Personal Travel,1145,5,0,10,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,50,Personal Travel,282,3,18,10,satisfied
Loyal Customer,Eco,Male,22,Business travel,1076,2,47,62,satisfied
Loyal Customer,Business,Male,56,Business travel,3927,4,0,1,satisfied
Loyal Customer,Eco,Male,39,Personal Travel,507,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,29,Personal Travel,325,3,0,0,satisfied
Loyal Customer,Business,Male,42,Business travel,3404,3,8,0,satisfied
Loyal Customer,Business,Male,56,Business travel,2387,4,33,21,satisfied
Loyal Customer,Business,Male,27,Business travel,192,1,0,1,satisfied
disloyal Customer,Eco,Female,21,Business travel,972,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,42,Business travel,362,4,0,17,satisfied
Loyal Customer,Business,Female,48,Business travel,1587,4,60,68,satisfied
Loyal Customer,Business,Male,53,Business travel,2611,3,0,0,satisfied
Loyal Customer,Eco,Female,64,Personal Travel,651,3,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,49,Personal Travel,342,3,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,49,Business travel,1625,4,0,4,satisfied
Loyal Customer,Eco Plus,Male,23,Personal Travel,361,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,50,Business travel,3511,4,0,29,neutral or dissatisfied
Loyal Customer,Eco Plus,Male,51,Personal Travel,927,4,0,0,neutral or dissatisfied
Loyal Customer,Business,Male,34,Business travel,3666,3,0,0,satisfied
Loyal Customer,Business,Female,49,Business travel,1187,4,33,40,satisfied
Loyal Customer,Eco,Female,56,Business travel,106,4,11,4,satisfied
Loyal Customer,Business,Male,46,Business travel,235,3,24,24,satisfied
Loyal Customer,Eco,Male,25,Personal Travel,965,4,0,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,68,Personal Travel,936,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,10,Personal Travel,1558,4,91,93,neutral or dissatisfied
Loyal Customer,Eco,Female,44,Business travel,222,4,0,0,satisfied
Loyal Customer,Business,Male,61,Personal Travel,680,4,2,0,neutral or dissatisfied
Loyal Customer,Eco Plus,Female,18,Personal Travel,641,2,13,1,neutral or dissatisfied
Loyal Customer,Business,Female,58,Business travel,3065,4,0,0,satisfied
Loyal Customer,Business,Female,58,Business travel,3736,2,52,41,neutral or dissatisfied
Loyal Customer,Eco,Male,64,Personal Travel,1024,5,12,5,neutral or dissatisfied
Loyal Customer,Business,Male,66,Personal Travel,685,5,0,0,neutral or dissatisfied
disloyal Customer,Business,Female,21,Business travel,296,4,19,12,satisfied
Loyal Customer,Business,Male,39,Business travel,337,4,5,0,satisfied
Loyal Customer,Business,Male,50,Business travel,1363,2,238,232,satisfied
Loyal Customer,Eco Plus,Female,43,Business travel,189,4,13,11,neutral or dissatisfied
Loyal Customer,Business,Male,41,Business travel,1620,5,7,0,satisfied
Loyal Customer,Eco,Male,46,Business travel,552,2,4,0,satisfied
Loyal Customer,Business,Male,41,Business travel,1616,3,2,6,satisfied
Loyal Customer,Eco,Female,31,Business travel,646,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Female,53,Personal Travel,404,5,21,13,neutral or dissatisfied
Loyal Customer,Business,Female,39,Business travel,3601,1,0,0,satisfied
Loyal Customer,Business,Female,53,Business travel,635,5,150,156,satisfied
Loyal Customer,Eco,Male,25,Business travel,646,5,13,4,satisfied
disloyal Customer,Eco,Female,20,Business travel,317,4,23,14,neutral or dissatisfied
disloyal Customer,Eco,Male,46,Business travel,1892,4,0,0,neutral or dissatisfied
Loyal Customer,Eco,Male,10,Personal Travel,612,5,0,0,neutral or dissatisfied
Loyal Customer,Business,Female,47,Business travel,2609,5,0,0,satisfied
Loyal Customer,Eco,Male,32,Personal Travel,1357,4,4,0,neutral or dissatisfied
Loyal Customer,Eco,Female,14,Personal Travel,237,4,3,12,neutral or dissatisfied
Loyal Customer,Business,Female,16,Business travel,2442,5,0,0,satisfied
Loyal Customer,Eco,Female,53,Personal Travel,950,4,0,0,neutral or dissatisfied
